number, name, fiets_index_score, length, avg_grade, ele_gain, ele_desc, start_ele, end_ele, max_grade, rd_cond, traffic, lat, long, url, route_number, secondary_route_number
1, Mauna Kea Hawaii, 28.95, 42.5, 5.9, 13789, -35, 3, 13757, 24.8, 3, 3, 19.726720, -155.086866, "https://www.pjammcycling.com/1.--mauna-kea---test2.html",1504789
2, Haleakala Hawaii, 18.52, 34.8, 5.6, 10249, -284, 14, 9978, 15.5, 5, 3, 20.91605, -156.38119, "https://www.pjammcycling.com/2.--haleakala--hi.html",638944
3, Mt Washington Auto Rd New Hampshire, 18.01, 7.4, 11.9, 4655, 0, 1584, 6268, 22.0, 3, 5, 44.28927, -71.22967, "https://www.pjammcycling.com/3.--mt-washington--nh.html",3237
4, Mauna Loa Hawaii, 17.83, 45.2, 4.4, 11008, -14, 3, 11004, 12.9, 4, 3, 19.72647, -155.08711, "https://www.pjammcycling.com/4.--mauna-loa--hi.html",6998193
5, Pikes Peak Colorado, 17.67, 24.2, 6.5, 7914, -171, 6345, 14115, 13.8, 5, 3, 38.85928, -104.91966, "https://www.pjammcycling.com/5.--pikes-peak--co.html",625021
6, Onion Valley Rd California, 14.15, 12.7, 8.2, 5270, -83, 3976, 9178, 13.7, 3, 4, 36.80156, -118.20195, "https://www.pjammcycling.com/6.--onion-valley-road--ca.html",4624623
7, Horseshoe Meadows Rd California, 13.74, 19.2, 6.5, 6490, -512, 3820, 10052, 15.3, 3, 4, 36.54224, -118.05151, "https://www.pjammcycling.com/7.-horseshoe-meadows--ca.html",1334431
8, Kaloko Dr Hawaii, 12.82, 11.7, 8.4, 4985, -1, 93, 5082, 20.7, 4, 4, 19.69051, -156.0226, "https://www.pjammcycling.com/8.--kaloko-dr.--hi.html",885309
9, White Mountain California, 12.8, 20.1, 6.3, 6375, -214, 3944, 10109, 19.9, 4, 3, 37.18501, -118.25297, "https://www.pjammcycling.com/9.--white-mountain--ca.html",626925
10, Waipoli Rd Hawaii, 12.74, 19.4, 8.2, 6299, -23, 95, 6371, 18.8, 4, 3.5, 20.87158, -156.43841, "https://www.pjammcycling.com/10.--waipoli-rd--hi.html",2917983
11, Mt Evans Colorado, 12.46, 27.4, 4.9, 6957, -375, 7554, 14130, 13.3, 4, 3, 39.73919, -105.52242, "https://www.pjammcycling.com/11.--mt-evans--co.html",642991
12, Sherman Pass West California, 12.29, 15.6, 6.4, 5335, -49, 3786, 9169, 11.9, 3, 5, 35.96737, -118.48555, "https://www.pjammcycling.com/12.-sherman-pass-west--ca.html",660358
13, Whitney Portal California, 12.18, 11.3, 8.0, 4573, -6, 3804, 8376, 13.8, 3, 3, 36.60186, -118.0738, "https://www.pjammcycling.com/13.-whitney-portal--ca.html",2318996
14, Guardsman Pass Utah, 12.07, 8.7, 8.4, 3987, -77, 5762, 9727, 19.2, 2, 4, 40.53862, -111.48375, "https://www.pjammcycling.com/14.--guardsman-pass--ut.html",2731723,  8951652
15, Nate Harrison Grade California, 11.75, 10.3, 8.5, 4431, -10, 902, 5346, 14.7, 1, 5, 33.31599, -116.9903, "https://www.pjammcycling.com/15.--nate-harrison-grade--ca.html",8962753
16, Hwy 39-Dawson's Saddle California, 11.68, 23.4, 5.0, 6621, -191, 1488, 7908, 14.5, 3, 4, 34.2385, -117.85815, "https://www.pjammcycling.com/16.-hwy-39-angeles-crest-hwy--ca2.html",724632
17, Mt Graham Arizona, 11.42, 20.1, 5.7, 6006, -578, 3344, 9033, 16.2, 4, 5, 32.71838, -109.72583, "https://www.pjammcycling.com/17.--mt-graham--az2.html",623710
18, Mt Equinox Vermont, 11.4, 5.3, 11.1, 3173, -5, 652, 3849, 15.3, 5, 5, 43.11743, -73.11345, "https://www.pjammcycling.com/18.--mt-equinox--sunderland-vt.html",3687
19, Hwy 21-Whittaker Forest California, 11.2, 23.1, 4.8, 6833, -568, 1295, 7581, 24.7 , 2, 5, 36.56638, -119.02566, "https://www.pjammcycling.com/19.--whittaker-forest--ca.html",7193411
20, Mt Baldy California, 11.19, 12.7, 6.9, 5013, -266, 1647, 6478, 15.1, 4, 3, 34.1388, -117.7073, "https://www.pjammcycling.com/20.-mt-baldy--ca.html",646257
21, Bear Creek Road California, 11.18, 16.1, 6.2, 5432, -446, 1392, 6669, 16.8, 2, 5, 36.18572, -118.79864, "https://www.pjammcycling.com/21.--bear-creek-road--ca.html",9910448
22, Hwy 156-Lee Canyon Nevada, 11.17, 17.3, 5.6, 5338, -13, 3311, 8649, 9.2 , 5, 4, 36.47749, -115.46804, "https://www.pjammcycling.com/22.-hwy-156--nv.html",734755
