waypoint1	waypoint2	distance_m	duration_s
Shirley Meadows California	Mt Evans Colorado	1785987	362946
Guardsman Pass Utah	Portuguese Pass California	1112971	223348
Mt Hood Oregon	Townes Pass East California	1313376	247994
Left Hand Canyon Colorado	Whiteface Mt New York	3245840	610541
Hwy 198 California	Beasore Rd California	208530	45992
Pikes Peak Colorado	Monitor Pass East California	1742232	349017
Guardsman Pass Utah	Mix Canyon Fairfield California	1190895	234016
Lake Sabrina California	Mt Evans Colorado	1568867	309702
Townes Pass East California	Tollhouse Rd California	549632	116790
Townes Pass East California	Mt Evans Colorado	1459432	288825
Breckenridge Rd East California	Sandia Crest Hwy New Mexico	1324540	257290
Mt Baldy California	Hwy 21-Whittaker Forest California	458994	93895
Mosquito Ridge Rd East California	Balch Park Rd California	533850	110330
N4/Table Mt California	Hwy 18 North California	92859	16756
Wolf Creek Pass Colorado	Trail Ridge Rd Colorado	598622	135530
Shirley Meadows California	Whitney Portal California	197425	38432
Hwy 21-245-180-198 California	Whiteface Mt New York	5147370	966879
Sherman Pass West California	Hwy 157-158 Nevada	482984	96395
Wheeler Peak Nevada	White Mountain California	528080	104384
Hwy 143 Utah	Mt Auscutney Vermont	4373144	819555
Townes Pass West California	Hwy 157-158 Nevada	253667	52686
Glacier Lodge Rd California	Slumgullion Pass West Colorado	1414952	289581
Refugio Rd California	Nate Harrison Grade California	398465	79622
Mineral King Rd California	Sandia Crest Hwy New Mexico	1519198	299813
Grand Mesa South Colorado	Daylight Pass Rd California	1141910	223799
Dantes View California	Onion Valley Rd California	198151	40359
Nate Harrison Grade California	Onion Valley Rd California	456116	85603
Rock Creek California	Kolob Terrace Rd Utah	686904	133981
Pikes Peak Colorado	Portuguese Pass California	1813150	362528
Hwy 82 New Mexico	Palomar Mt California	1252044	234134
Hwy 198 California	Elkhorn Summit Oregon	1351332	271717
Bear Creek Road California	Cottonwood Pass Colorado	1827466	361192
Hwy 31 West Utah	Hwy 180 West California	987006	225189
Wildrose California	Beartooth Pass North Montana	1531652	305475
Guanella Pass Colorado	Elkhorn Summit Oregon	1559919	309472
Hwy 168 California	Guanella Pass Colorado	1767850	369048
Lake Sabrina California	Guanella Pass Colorado	1547785	308927
Hwy 168 California	Hwy 198 California	144304	29070
Mosquito Ridge Rd East California	Trail Ridge Rd Colorado	1729499	355071
Guardsman Pass Utah	Hwy 330 California	1141035	220535
Powder Mountain Utah	Hwy 31 West Utah	257426	52019
Hwy 168 California	N4/Table Mt California	436083	88071
Emigrant Pass East California	Mineral King Rd California	416975	95148
Mt Shasta California	Whiteface Mt New York	4946958	940639
Independence Pass Colorado	Mt Baldy California	1500660	305279
Portuguese Pass California	Elkhorn Summit Oregon	1362451	263686
Hwy 168 California	Portuguese Pass California	202650	39629
Hwy 38-Valley of Falls California	Gibraltar Road Santa Barbara California	291666	57234
Shirley Meadows California	Beasore Rd California	308762	70998
Hwy 153 Utah	Horseshoe Meadows Rd California	668298	135551
Powder Mountain Utah	Mt Shasta California	1119492	213561
Gibraltar Road Santa Barbara California	Mt Evans Colorado	1866862	373087
Balch Park Rd California	Hwy 156-Lee Canyon Nevada	706135	133749
Parks Creek East California	Etna Summit West California	111714	27246
Hwy 190 California	White Mountain California	386532	80802
Hwy 14 Alt Route Wyoming	Hwy 21-245-180-198 California	1784093	373447
Mission Ridge Washington	Mt Spokane Washington	321153	60932
Kolob Terrace Rd Utah	Hwy 39-Dawson's Saddle California	807448	162823
Hwy 38-Valley of Falls California	Death Valley Rd East California	463231	89820
Sonora Pass West California	Big Cottonwood Canyon Utah	947498	190663
Hwy 198 California	Palomar Mt California	559647	114286
Mt Shasta California	Whitney Portal California	771781	153243
Kolob Terrace Rd Utah	White Mountain California	681593	135909
Beartooth Pass North Montana	Hwy 180 West California	1812683	368500
Guanella Pass Colorado	Mt Harrision Idaho	1059888	218075
Sonora Pass West California	Hwy 190 California	445740	95413
Clingman's Dome Tennessee	Onion Valley Rd California	3980771	753115
Bear Creek Road California	Left Hand Canyon Colorado	2093991	418686
Sherman Pass West California	Hwy 156-Lee Canyon Nevada	475864	96773
Independence Pass Colorado	Mt Rose California	1487503	300030
Mt Ashland Oregon	Mt Auscutney Vermont	5124387	977817
Trail Ridge Rd Colorado	Rock Creek California	1578012	314898
Magnolia Dr Colorado	Elkhorn Summit Oregon	1640083	311232
Onion Valley Rd California	Hwy 39-Dawson's Saddle California	400364	75084
Townes Pass West California	Grand Mesa North Colorado	1139412	228807
Hwy 21-245-180-198 California	South Lake California	216817	77397
Hwy 18 North California	Hwy 39-Dawson's Saddle California	170801	37273
Hwy 157-158 Nevada	Tollhouse Rd California	791628	150990
Hwy 31 West Utah	Independence Pass Colorado	626054	134641
Townes Pass East California	Sandia Crest Hwy New Mexico	1190105	236010
Pine Creek Rd California	Hwy 180 West California	226916	77018
Hwy 157-158 Nevada	Mt Ashland Oregon	1100995	202932
Magnolia Dr Colorado	Onion Valley Rd California	1543838	322173
Death Valley Rd East California	Grand Mesa North Colorado	1150365	227699
Balch Park Rd California	Hwy 14 West Wyoming	2076193	402924
Glacier Lodge Rd California	Hwy 31 West Utah	805036	156654
Monitor Pass East California	Hwy 31 West Utah	931198	176890
Breckenridge Rd East California	Elkhorn Summit Oregon	1326726	250761
Balch Park Rd California	Horseshoe Meadows Rd California	312698	68751
Wildrose California	Hwy 39-Dawson's Saddle California	331118	66754
Refugio Rd California	Mt Evans Colorado	1908472	381506
Guardsman Pass Utah	Palomar Mt California	1198675	232140
Dantes View California	Hwy 180 West California	337470	101299
Mt Rose California	Etna Summit West California	492553	101331
Hwy 156-Lee Canyon Nevada	Mt Ashland Oregon	1078363	198453
Mt Spokane Washington	Hwy 21-Whittaker Forest California	1886143	360603
Monitor Pass East California	Death Valley Rd East California	284146	63971
Mineral King Rd California	Trail Ridge Rd Colorado	2056382	416180
Little Cottonwood Canyon Utah	Lone Pine-Table Mountain California	1084431	208918
South Lake California	Hwy 21-Whittaker Forest California	214899	76200
