waypoint1	waypoint2	distance_m	duration_s
Powder Mountain, UT	Hwy 31 West, UT	333756	71258
Hwy 190, CA	Elkhorn Summit, OR	1167093	223069
Sonora Pass West, CA	Glacier Lodge Rd, CA	229633	53506
Nine Mile Rd, CA	Mt Baldy, CA	4747263	878903
Mt Graham, AZ	Elkhorn Summit, OR	2064786	395616
Sonora Pass West, CA	Onion Valley Rd, CA	270722	60400
Whitaker Forest Road, Badger, California	Little Cottonwood Canyon, UT	1080338	236349
Hwy 190, CA	Sandia Crest Hwy, NM	1320106	260673
Mineral King Rd, CA	Kolob Terrace Rd, UT	1017514	210788
Mt Harrision, ID	Horseshoe Meadows Rd, CA	964788	183067
Wildrose, CA	N4/Table Mt, CA	722423	136679
Balch Park Rd, CA	Mt Washington Auto Rd, NH	5386393	1023237
Mt Harrision, ID	Palomar Mt, CA	1318392	253082
Mt Lemmon, AZ	Parks Creek East, CA	1829350	337408
South Lake, CA	Mt Evans, CO	1807180	366353
Grand Mesa South, CO	Nate Harrison Grade, CA	1502215	312383
Powder Mountain, UT	Shirley Meadows, CA	1333316	263935
La Luz, NM	Bear Creek Road, CA	2096176	403382
Pine Creek Rd, CA	Mt Evans, CO	1885282	349623
Little Cottonwood Canyon, UT	Clingman's Dome, TN	3286606	648173
Hwy 14 West, WY	Mt Evans, CO	302235	64076
Wheeler Peak, NV	Mt Baldy, CA	888871	175346
Left Hand Canyon, CO	Townes Pass East, CA	1483533	312923
Valley of the Falls Dr, Forest Falls, CA 92339	N4/Table Mt, CA	2257930	429847
Glacier Lodge Rd, CA	Death Valley Rd East, CA	71798	17326
Hwy 31 West, UT	Townes Pass East, CA	840743	166725
Burke Mt, VT	Portuguese Pass, CA	5188113	968239
Cajon Junction, California 92371	Shirley Meadows, CA	260349	53985
Wheeler Peak, NV	Glacier Lodge Rd, CA	564346	113659
Beasore Rd, CA	Hwy 153, UT	879154	182544
Monitor Pass East, CA	Death Valley Rd East, CA	315674	69025
Left Hand Canyon, CO	Sandia Crest Hwy, NM	783067	166780
Wildrose, CA	Nine Mile Rd, CA	3879471	711585
Balch Park Rd, CA	Tollhouse Rd, CA	208174	45922
Mt Lemmon, AZ	Death Valley Rd East, CA	1090271	207428
Portuguese Pass, CA	Hwy 39-Crystal Lake Rd, CA	345040	80351
Monitor Pass East, CA	Mt Auscutney, VT	4911505	932851
Townes Pass West, CA	Mt Auscutney, VT	4929517	932505
Sherman Pass West, CA	Portuguese Pass, CA	68158	21920
South Lake, CA	Whiteface Mt, NY	4953567	928970
Tollhouse Rd, CA	Mt Spokane, WA	1807777	349690
Wheeler Peak, NV	Pine Creek Rd, CA	1599348	310913
Dantes View, CA	Magnolia Dr, CO	1458791	301140
Whiteface Mt, NY	Tollhouse Rd, CA	5234255	984187
N4/Table Mt, CA	Hwy 21-245-180-198, CA	2089022	407998
Hwy 198, CA	Whiteface Mt, NY	5187359	978986
Guanella Pass, CO	Hwy 18-Waterman Canyon, CA	1712353	343079
Hwy 143, UT	Daylight Pass Rd, CA	519493	98290
Sandia Crest Hwy, NM	Emigrant Pass East, CA	1068420	208424
Valley of the Falls Dr, Forest Falls, CA 92339	Empire Pass, UT	1151331	227446
Slumgullion Pass West, CO	Whiteface Mt, NY	3670916	688345
Burke Mt, VT	Mt Ashland, OR	5278581	1006002
Hwy 190, CA	Lake Sabrina, CA	161237	28347
N4/Table Mt, CA	White Mountain, CA	1834798	357446
Cottonwood Pass, CO	Clingman's Dome, TN	2568922	507773
Valley of the Falls Dr, Forest Falls, CA 92339	Mosquito Ridge Rd East, CA	936240	196090
Sherman Pass West, CA	Left Hand Canyon, CO	1682470	361055
Grand Mesa South, CO	Hwy 18-Waterman Canyon, CA	1415630	294912
Wheeler Peak, NV	Guanella Pass, CO	1023398	217388
Guardsman Pass, UT	Kolob Terrace Rd, UT	478836	95420
Townes Pass West, CA	Death Valley Rd East, CA	151381	35172
Clingman's Dome, TN	Sandia Crest Hwy, NM	2676114	516736
Valley of the Falls Dr, Forest Falls, CA 92339	Big Cottonwood Canyon, UT	1125801	221548
Mosquito Ridge Rd East, CA	Mt Rose, CA	124844	32550
Hwy 190, CA	Beartooth Pass North, MT	1592144	301778
Mt Baldy, CA	Horseshoe Meadows Rd, CA	348472	68486
Breckenridge Rd East, CA	Townes Pass West, CA	278267	64690
Hwy 190, CA	Clingman's Dome, TN	3959742	764378
Breckenridge Rd East, CA	Mt Baldy, CA	325241	71778
Hurricane Ridge, WA	Magnolia Dr, CO	2473368	490162
Portuguese Pass, CA	South Lake, CA	49331	17811
Guardsman Pass, UT	Wildrose, CA	1971868	377818
Mineral King Rd, CA	Horseshoe Meadows Rd, CA	247217	92062
Big Cottonwood Canyon, UT	Sonora Pass West, CA	932974	187107
Mt Washington Auto Rd, NH	Daylight Pass Rd, CA	5065777	955949
Hwy 156-Lee Canyon, NV	Gibraltar Road, Santa Barbara, CA	675345	124670
Valley of the Falls Dr, Forest Falls, CA 92339	La Luz, NM	1315636	239859
Mt Harrision, ID	Hwy 156-158, NV	3829438	750527
Powder Mountain, UT	N4/Table Mt, CA	1246875	239971
South Lake, CA	Hwy 14 West, WY	1739483	350769
Hwy 21-245-180-198, CA	Sonora Pass West, CA	333515	79292
Hwy 330, CA	Little Cottonwood Canyon, UT	1135110	221991
Mt Spokane, WA	Mosquito Ridge Rd East, CA	1338729	271605
Mt Harrision, ID	Mt Evans, CO	1135929	235804
Trail Ridge Rd, CO	Mt Ashland, OR	1997808	394596
Shirley Meadows, CA	Mt Evans, CO	1844480	380070
Wildrose, CA	Etna Summit West, CA	2081013	427387
Trail Ridge Rd, CO	Hwy 143, UT	974144	200803
Powder Mountain, UT	Hwy 21-245-180-198, CA	1340370	261438
Hwy 190, CA	Dantes View, CA	182557	44835
Shirley Meadows, CA	Death Valley Rd East, CA	342000	71585
Hwy 156-158, NV	Elkhorn Summit, OR	4292154	847470
Hwy 143, UT	Wolf Creek Pass, CO	762089	155801
Hwy 180 West, CA	Aspen, Colorado	1771157	359885
N4/Table Mt, CA	Magnolia Dr, CO	1679454	312478
Wildrose, CA	Hwy 157 (Mt Charleston), NV	2495058	475777
Guanella Pass, CO	Mix Canyon, Fairfield	1869910	377243
Hwy 156-Lee Canyon, NV	Wolf Creek Pass, CO	1123832	225225
Aspen, Colorado	Grand Mesa North, CO	198791	47334
Mt Equinox, VT	Big Cottonwood Canyon, UT	3948452	749338
Sandia Crest Hwy, NM	Whitney Portal, CA	1360610	268339
Nine Mile Rd, CA	Mt Evans, CO	3194037	594083
Monitor Pass East, CA	South Lake, CA	490566	102685
N4/Table Mt, CA	Dantes View, CA	1890870	358357
Portuguese Pass, CA	Balch Park Rd, CA	115037	30942
Balch Park Rd, CA	Lake Sabrina, CA	456788	99274
